movieId,action,horror,documentary,tv movie,history,adventure,animation,mystery,war,science fiction,comedy,drama,music,family,western,thriller,romance,crime,foreign,fantasy
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
28,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
62,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
68,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
79,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
81,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
