tweets
"Find your flavor inspiration at the @PerrierUSA art truck this weekend! Makeovers by HOY, live art by #akacorleone… https://t.co/ScA2WDOa8c"
"Last call: RSVP to our @insecurehbo HELLA BRUNCH premiere party at @houseofyesnyc for brunch, drinks &amp; surprises
https://t.co/52ivvgcpO2"
"RSVP now to brunch so hard. Cocktails, brunch bites, nail art &amp; temporary tattoos + the S2 premiere of @insecurehbo
https://t.co/52ivvgcpO2"
"Yo, we are turning up brunch with @insecurehbo at @houseofyesnyc. RSVP to party on 7/16
https://t.co/52ivvgcpO2"
"If You Like These 10 Shows, You’ll Love @SHO_TwinPeaks https://t.co/KfIOApjVAV https://t.co/dLKrWQDkim"
.@PinkRoomBurlyq is transporting lucky fans to #TwinPeaks on 5/16. Are you on the list? https://t.co/pxxsafF396  @Showtime
Instant Gratification: photographer @drivenbyboredom revisits the artful nude in his new book of Instax portraits https://t.co/hvXSPSxhx9
Year's end is a good time to take a good look at #thefutureofartandwork https://t.co/QDM7uobG8q
Matt Brimer of @ga (and more thought-leaders) breaks down #thefutureofartandwork for us: https://t.co/QDM7uobG8q
Artist @saya_woolfalk &amp; neuroleadership CEO @davidrock101 on #thefutureofartandwork: https://t.co/QDM7uobG8q
What does #thefutureofartandwork look like? See for yourself: https://t.co/QDM7uobG8q
RT @dybrkr: You know what they say about early risers ➔  http://t.co/B4XFSrT6Mi
http://gel.lodev/events/ecstatic-music-festival-2014
"Keep up with the latest cultural events in your city by following @flavorpill_nyc, @flavorpill_la, and @flavorpill_sf"
RT @rebeccaonion: Lookee -&gt; @Slate is hiring a culture writer &amp; a senior editor! Culture writer can be remote; senior editor is NY/DC prefe…
"Shoutout to 2.7 decades of the late Wilford Brimley's delivery of the phrase ""oral and what not"" etched indelibly i… https://t.co/iVqOhYrE5b"
RT @JurassicPark2go: the t rex has grasped the concept of a 401k and is demanding one
@sicrowe I haven't read it!
The landscape of human sexuality is vast and wondrous etc https://t.co/qzNNrxR0af
@MKupperman It was the things that ate people with their wings somehow. Upsetting!
@MKupperman THE BEASTMASTER
That was MY morning how was yours
Woke up this morning thinking about a scene from a movie that was the VHS pick for the kids at some potluck gatheri… https://t.co/6JADz5TWNv
🤦🤦🤦 https://t.co/Mk1ew2InRB
"THE BURNT ORANGE HERESY isn't an especially good thriller, but it is nevertheless nice to watch Claes Bang and Eliz… https://t.co/SO1eTJAgyF"
@DPD_ Chili crisp + fried or scrambled eggs + rice
"@Scaachi End breakfast food tyranny, all foods are breakfast foods"
